X,Z
3.025,371.385
2.975,371.38
2.93,371.37
2.885,371.37
2.835,371.38
2.785,371.39
2.74,371.39
2.695,371.38
2.645,371.37
2.6,371.375
2.55,371.37
2.505,371.365
2.455,371.365
2.41,371.355
2.365,371.365
2.315,371.375
2.265,371.37
2.22,371.38
2.175,371.39
2.125,371.395
2.08,371.395
2.03,371.385
1.985,371.385
1.935,371.385
1.89,371.375
1.84,371.38
1.795,371.38
1.745,371.365
1.7,371.4
1.65,371.415
1.605,371.39
1.56,371.38
1.51,371.4
1.465,371.425
1.415,371.425
1.37,371.415
1.32,371.395
1.275,371.395
1.225,371.405
1.18,371.385
1.13,371.385
1.085,371.4
1.035,371.4
0.99,371.395
0.945,371.395
0.895,371.41
0.85,371.415
0.8,371.39
0.755,371.39
0.705,371.41
0.66,371.405
0.61,371.385
0.565,371.385
0.515,371.425
0.47,371.45
0.42,371.445
0.375,371.43
0.325,371.425
0.28,371.43
0.235,371.425
0.185,371.43
0.14,371.44
0.09,371.445
0.045,371.42
-0.005,371.41
-0.05,371.41
-0.1,371.425
-0.145,371.435
-0.195,371.445
-0.24,371.45
-0.29,371.435
-0.335,371.43
-0.38,371.44
-0.43,371.46
-0.475,371.455
-0.525,371.435
-0.57,371.435
-0.615,371.44
-0.665,371.43
-0.71,371.43
-0.76,371.45
-0.805,371.47
-0.855,371.47
-0.9,371.46
-0.945,371.455
-0.995,371.465
-1.04,371.465
-1.09,371.44
-1.135,371.4
-1.18,371.385
-1.23,371.395
-1.275,371.415
-1.325,371.445
-1.37,371.475
-1.415,371.485
-1.465,371.495
-1.51,371.48
-1.56,371.465
-1.605,371.475
-1.655,371.49
-1.7,371.48
-1.745,371.465
-1.795,371.465
-1.84,371.47
-1.89,371.46
-1.935,371.46
-1.985,371.48
-2.03,371.5
-2.075,371.5
-2.125,371.495
-2.17,371.48
-2.22,371.495
-2.265,371.505
-2.31,371.48
-2.36,371.465
-2.405,371.475
-2.455,371.485
-2.5,371.485
-2.545,371.49
-2.595,371.485
-2.64,371.505
-2.69,371.525
-2.735,371.5
-2.785,371.47
-2.83,371.47
-2.875,371.49
-2.925,371.5
-2.97,371.49
-3.02,371.485
-3.065,371.525
-3.11,371.545
-3.16,371.53
-3.205,371.51
-3.255,371.51
-3.3,371.52
-3.345,371.525
-3.395,371.5
-3.44,371.475
-3.49,371.48
-3.535,371.525
-3.58,371.56
-3.63,371.56
-3.675,371.545
-3.725,371.555
-3.77,371.545
-3.82,371.515
-3.865,371.515
-3.91,371.525
-3.96,371.505
-4.005,371.495
-4.055,371.52
-4.1,371.54
-4.145,371.535
-4.195,371.525
-4.24,371.5
-4.29,371.49
-4.335,371.515
-4.38,371.53
-4.43,371.53
-4.475,371.535
-4.52,371.545
-4.57,371.575
-4.615,371.575
-4.66,371.565
-4.71,371.58
-4.755,371.565
-4.805,371.53
-4.85,371.52
-4.9,371.525
-4.945,371.53
-4.99,371.535
-5.04,371.55
-5.085,371.56
-5.13,371.555
-5.18,371.55
-5.225,371.535
-5.275,371.52
-5.32,371.5
-5.37,371.51
-5.415,371.525
-5.46,371.535
-5.51,371.555
-5.555,371.565
-5.6,371.57
-5.65,371.58
-5.695,371.585
-5.745,371.56
-5.79,371.535
-5.84,371.53
-5.885,371.555
-5.93,371.56
-5.98,371.545
-6.025,371.54
-6.07,371.53
-6.12,371.555
-6.165,371.58
-6.21,371.58
-6.26,371.565
-6.305,371.55
-6.355,371.555
-6.4,371.58
-6.445,371.595
-6.495,371.58
-6.54,371.555
-6.585,371.57
-6.635,371.6
-6.68,371.6
-6.73,371.59
-6.775,371.6
-6.82,371.61
-6.87,371.615
-6.915,371.615
-6.965,371.59
-7.01,371.575
-7.055,371.595
-7.1,371.63
-7.15,371.635
-7.195,371.62
-7.245,371.595
-7.29,371.59
-7.34,371.6
-7.385,371.595
-7.43,371.59
-7.48,371.605
-7.525,371.625
-7.57,371.625
-7.62,371.62
-7.665,371.61
-7.715,371.6
-7.76,371.605
-7.805,371.63
-7.85,371.64
-7.9,371.62
-7.945,371.615
-7.995,371.62
-8.04,371.62
-8.09,371.62
-8.135,371.63
-8.18,371.645
-8.23,371.625
-8.28,371.595
-8.325,371.605
-8.37,371.63
-8.415,371.645
-8.465,371.64
-8.51,371.625
-8.56,371.635
-8.605,371.63
-8.655,371.6
-8.7,371.58
-8.75,371.595
-8.795,371.61
-8.84,371.63
-8.885,371.64
-8.935,371.65
-8.98,371.665
-9.025,371.66
-9.075,371.63
-9.125,371.615
-9.17,371.61
-9.22,371.6
-9.265,371.625
-9.31,371.66
-9.355,371.67
-9.4,371.665
-9.45,371.655
-9.5,371.64
-9.545,371.64
-9.59,371.645
-9.64,371.66
-9.685,371.665
-9.735,371.65
-9.78,371.67
-9.825,371.685
-9.87,371.685
-9.92,371.665
-9.965,371.67
-10.015,371.68
-10.06,371.66
-10.11,371.65
-10.155,371.66
-10.2,371.675
-10.25,371.685
-10.295,371.705
-10.34,371.695
-10.39,371.65
-10.44,371.615
-10.49,371.605
-10.535,371.595
-10.58,371.605
-10.625,371.645
-10.67,371.67
-10.72,371.665
-10.765,371.67
-10.815,371.665
-10.86,371.65
-10.91,371.64
-10.955,371.635
-11.005,371.64
-11.05,371.66
-11.095,371.675
-11.14,371.685
-11.185,371.695
-11.235,371.7
-11.28,371.71
-11.33,371.71
-11.375,371.695
-11.425,371.695
-11.47,371.7
-11.515,371.7
-11.565,371.7
-11.61,371.71
-11.655,371.715
-11.705,371.715
-11.75,371.725
-11.795,371.72
-11.845,371.695
-11.895,371.7
-11.94,371.705
-11.99,371.68
-12.035,371.68
-12.08,371.705
-12.13,371.7
-12.175,371.675
-12.225,371.68
-12.27,371.69
-12.32,371.695
-12.365,371.72
